word,meanings,meaningsByBook,usphone,ukphone,bookIds,semanticDomainId,semanticPath,semanticConfidence,reviewRequired
"mistake","n. 错误；误会；过失 | vt. 弄错；误解 | vi. 弄错；误解","{""zhongkao"":[""n. 错误；误会；过失"",""vt. 弄错；误解"",""vi. 弄错；误解""],""kaoyan2024"":[""n. 错误；误会；过失vt. 弄错；误解vi. 弄错；误解""],""bec2"":[""错误；误会；过失"",""弄错；误解""]}","mɪsˈteɪk","mɪsˈteɪk","zhongkao | kaoyan2024 | bec2","judgment","判断与评价 › 判断·价值·评价 › mistake","0.2","true"
"much","adv. 非常，很 | adj. 大量的 | n. 许多，大量 | pron. 许多，大量","{""zhongkao"":[""adv. 非常，很"",""adj. 大量的"",""n. 许多，大量"",""pron. 许多，大量""]}","mʌʧ","mʌʧ","zhongkao","quantity","程度·范围·数量 › 数量·范围·程度 › much","0.67","false"
"hang","n. 悬挂；暂停，中止 | vt. 悬挂，垂下；装饰；绞死；使悬而未决 | vi. 悬着，垂下；被绞死；悬而不决","{""zhongkao"":[""n. 悬挂；暂停，中止"",""vt. 悬挂，垂下；装饰；绞死；使悬而未决"",""vi. 悬着，垂下；被绞死；悬而不决""],""ielts"":[""悬挂， 吊， 垂下； 吊死， 绞死""],""bec2"":[""悬挂，垂下；装饰；绞死；使悬而未决"",""悬挂；暂停，中止""]}","hæŋ","hæŋ","zhongkao | ielts | bec2","judgment","判断与评价 › 判断·价值·评价 › hang","0.2","true"
"kilometre","n. 公里； 千米 | e n. 千米（公里）","{""zhongkao"":[""n. 公里； 千米""],""gaokao"":[""e n. 千米（公里）""]}","ˌkɪˈlɔˌmʌtər","ˈkɪləʊˌmiːtə","zhongkao | gaokao","cognition","认知与思维 › 感知·理解·记忆 › kilometre","0.2","true"
"ending","n. 结局；结尾 | n. 结局；结尾，最后 | 结尾， 结局； 死亡","{""zhongkao"":[""n. 结局；结尾""],""gaokao"":[""n. 结局；结尾，最后""],""cet4"":[""结尾， 结局； 死亡""]}","ˈɛndɪŋ","ˈɛndɪŋ","zhongkao | gaokao | cet4","time","时间与过程 › 时间·顺序·过程 › ending","0.67","false"
"type","n. 类型，品种；模范；样式 | vt. 打字；测定（血等）类型 | vi. 打字 | vt. 打字","{""zhongkao"":[""n. 类型，品种；模范；样式"",""vt. 打字；测定（血等）类型"",""vi. 打字""],""gaokao"":[""vt. 打字""],""kaoyan2024"":[""n.类型，品种；模范；样式vt.打字；测定（血等）类型vi.打字""]}","taɪp","taɪp","zhongkao | gaokao | kaoyan2024","judgment","判断与评价 › 判断·价值·评价 › type","0.2","true"
"disabled","adj. 残废的，有缺陷的 | v. 使…失去能力（disable的过去分词） | a. 残废的，残疾的","{""zhongkao"":[""adj. 残废的，有缺陷的"",""v. 使…失去能力（disable的过去分词）""],""gaokao"":[""a. 残废的，残疾的""]}","dɪˈseɪbəld","dɪsˈeɪbld","zhongkao | gaokao","society","社会与个体 › 社会·群体·个体 › disabled","0.2","true"
"document","n. 文件，公文； 文档；证件 | vt. 用文件证明 | n. 文件；文献 | 公文，文件；证件 | 用文件等证明","{""zhongkao"":[""n. 文件，公文； 文档；证件"",""vt. 用文件证明""],""gaokao"":[""n. 文件；文献""],""cet4"":[""公文，文件；证件"",""用文件等证明""],""ielts"":[""公文，文件，证件"",""用文件证明； 记载""],""gre3000"":[""证实""]}","ˈdɑkjəmɛnt","ˈdɒkjəmənt","zhongkao | gaokao | cet4 | ielts | gre3000","action","行动与选择 › 行动·选择·执行 › document","0.67","false"
"gesture","做手势 | n. 姿态；手势 | vt. 用动作表示 | vi. 作手势；用动作示意 | n. 姿势，手势 | 姿势，手势，姿态","{""zhongkao"":[""n. 姿态；手势"",""vt. 用动作表示"",""vi. 作手势；用动作示意""],""gaokao"":[""n. 姿势，手势""],""cet4"":[""做手势"",""姿势，手势，姿态""],""tem4"":[""姿态；手势"",""作手势；用动作示意""],""ielts"":[""做手势"",""姿势，姿态；手势""],""sat"":[""姿势， 姿态， 手势""]}","ˈʤɛsʧər","ˈʤɛsʧə","zhongkao | gaokao | cet4 | tem4 | ielts | sat","quantity","程度·范围·数量 › 数量·范围·程度 › gesture","0.2","true"
"mean","平均的；卑鄙的；低劣的；吝啬的 | 意味；想要；意欲 | 平均值 | adj. 平均的；卑鄙的；低劣的；吝啬的 | vt. 意味；想要；意欲 | n. 平均值 | vi. 用意","{""zhongkao"":[""adj. 平均的；卑鄙的；低劣的；吝啬的"",""vt. 意味；想要；意欲"",""n. 平均值"",""vi. 用意""],""tem4"":[""平均的；卑鄙的；低劣的；吝啬的"",""意味；想要；意欲"",""平均值""],""kaoyan2024"":[""adj. 平均的；卑鄙的；低劣的；吝啬的vt. 意味；想要；意欲n. 平均值vi. 用意""],""sat"":[""表示…的意思；意指；意味着；意欲，打算；注定；怀有特定用意；具有意义"",""低劣的，卑鄙的；平庸的；没有价值的；难看的，破旧的；吝啬的；中等的；平均的；中项的"",""平均 ， 中数""],""gre1500"":[""a.卑贱的，吝啬的"",""卑贱的：ignoble；吝啬的：sharing little；打算，怀有目的：purpose or goal；意味着：convey, show or indicate""],""gre3000"":[""卑贱的；吝啬的""],""bec2"":[""平均的；卑鄙的；低劣的；吝啬的"",""意味；想要；意欲"",""平均值""]}","min","miːn","zhongkao | tem4 | kaoyan2024 | sat | gre1500 | gre3000 | bec2","quantity","程度·范围·数量 › 数量·范围·程度 › mean","0.67","false"
"comedy","n. 喜剧；喜剧性；有趣的事情 | n. 喜剧 | 喜剧， 喜剧性","{""zhongkao"":[""n. 喜剧；喜剧性；有趣的事情""],""gaokao"":[""n. 喜剧""],""cet4"":[""喜剧， 喜剧性""],""ielts"":[""喜剧； 喜剧性""],""toefl"":[""喜剧； 喜剧性， 滑稽， 幽默""]}","ˈkɑmədi","ˈkɒmɪdi","zhongkao | gaokao | cet4 | ielts | toefl","action","行动与选择 › 行动·选择·执行 › comedy","0.2","true"
"well known","adj. 众所周知的；著名的；出名的；为人所熟知的（或熟悉的、认可的） | 知名的；人所共知","{""zhongkao"":[""adj. 众所周知的；著名的；出名的；为人所熟知的（或熟悉的、认可的）"",""知名的；人所共知""]}","wɛl noʊn","wɛl nəʊn","zhongkao","cognition","认知与思维 › 感知·理解·记忆 › well known","0.67","false"
"villager","n. 乡村居民，村民 | n. 村民","{""zhongkao"":[""n. 乡村居民，村民""],""gaokao"":[""n. 村民""]}","ˈvɪlɪʤər","ˈvɪlɪʤə","zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › villager","0.2","true"
"relationship","n. 关系；关联 | n. 关系 | 关系， 关联","{""zhongkao"":[""n. 关系；关联""],""gaokao"":[""n. 关系""],""cet4"":[""关系， 关联""],""kaoyan2024"":[""n.关系；关联""],""bec2"":[""关系；关联""]}","riˈleɪʃənˌʃɪp","rɪˈleɪʃənʃɪp","zhongkao | gaokao | cet4 | kaoyan2024 | bec2","relation","因果与关系 › 原因·结果·连接 › relationship","0.2","true"
"learner","n. 初学者，学习者","{""zhongkao"":[""n. 初学者，学习者""]}","ˈlɜrnər","ˈlɜːnə","zhongkao","cognition","认知与思维 › 感知·理解·记忆 › learner","0.67","false"
"set","n. 集合；一套；布景； 装置 | adj. 固定的；规定的；固执的 | vi. (日,月)落沉；凝固；结果 | vt. 树立；点燃；点缀；","{""zhongkao"":[""n. 集合；一套；布景； 装置"",""adj. 固定的；规定的；固执的"",""vi. (日,月)落沉；凝固；结果"",""vt. 树立；点燃；点缀；""],""kaoyan2024"":[""n. 集合；一套；布景； 装置adj. 固定的；规定的；固执的vi. (日,月)落沉；凝固；结果vt. 树立；点燃；点缀；""],""sat"":[""集合""]}","sɛt","sɛt","zhongkao | kaoyan2024 | sat","society","社会与个体 › 社会·群体·个体 › set","0.2","true"
"o'clock","abbr. …点钟（等于of the clock） | n. 点钟","{""zhongkao"":[""abbr. …点钟（等于of the clock）""],""gaokao"":[""n. 点钟""]}","əˈklɑk","əˈklɒk","zhongkao | gaokao","relation","因果与关系 › 原因·结果·连接 › o'clock","0.2","true"
"far","n. 远方 | adj. 远的；久远的 | adv. 很；遥远地；久远地；到很远的距离；到很深的程度 | (farther, farthest 或further , furthest) a.& ad. 远的；远地","{""zhongkao"":[""n. 远方"",""adj. 远的；久远的"",""adv. 很；遥远地；久远地；到很远的距离；到很深的程度""],""gaokao"":[""(farther, farthest 或further , furthest) a.& ad. 远的；远地""]}","fɑr","fɑː","zhongkao | gaokao","expression","表达与观点 › 语言·观点·交流 › far","0.2","true"
"professor","n. 教授；教师；公开表示信仰的人 | n. 教授","{""zhongkao"":[""n. 教授；教师；公开表示信仰的人""],""gaokao"":[""n. 教授""],""kaoyan2024"":[""n.教授；教师；公开表示信仰的人""]}","prəˈfɛsər","prəˈfɛsə","zhongkao | gaokao | kaoyan2024","quantity","程度·范围·数量 › 数量·范围·程度 › professor","0.2","true"
"guide","n. 指南；向导；入门书 | vt. 引导；带领；操纵 | vi. 担任向导 | n. 向导，导游者","{""zhongkao"":[""n. 指南；向导；入门书"",""vt. 引导；带领；操纵"",""vi. 担任向导""],""gaokao"":[""n. 向导，导游者""],""kaoyan2024"":[""n. 指南；向导；入门书vt. 引导；带领；操纵vi. 担任向导""],""bec2"":[""指南；向导；入门书"",""引导；带领；操纵""]}","ɡaɪd","ɡaɪd","zhongkao | gaokao | kaoyan2024 | bec2","time","时间与过程 › 时间·顺序·过程 › guide","0.2","true"
"creative","adj. 创造性的 | 创造性的， 创作的","{""zhongkao"":[""adj. 创造性的""],""cet4"":[""创造性的， 创作的""],""kaoyan2024"":[""adj. 创造性的""],""ielts"":[""创造性的； 创作的""],""toefl"":[""有创造力的， 创造性的""]}","kriˈeɪtɪv","kriˈeɪtɪv","zhongkao | cet4 | kaoyan2024 | ielts | toefl","quantity","程度·范围·数量 › 数量·范围·程度 › creative","0.2","true"
"shut","n. 关闭 | adj. 关闭的；围绕的 | vi. 关上；停止营业 | vt. 关闭；停业；幽禁 | v. / n. 关上，封闭；禁闭；","{""zhongkao"":[""n. 关闭"",""adj. 关闭的；围绕的"",""vi. 关上；停止营业"",""vt. 关闭；停业；幽禁""],""gaokao"":[""v. / n. 关上，封闭；禁闭；""],""bec2"":[""关闭；停业；幽禁"",""关闭"",""关闭的；围绕的""]}","ʃʌt","ʃʌt","zhongkao | gaokao | bec2","society","社会与个体 › 社会·群体·个体 › shut","0.2","true"
"favourite","特别受喜爱的 | n. 特别喜爱的人（或物） | adj. 特别受喜爱的 | (美 favorite) a. 喜爱的 n. 特别喜爱的人（或物） | 特别受喜爱的人","{""zhongkao"":[""n. 特别喜爱的人（或物）"",""adj. 特别受喜爱的""],""gaokao"":[""(美 favorite) a. 喜爱的 n. 特别喜爱的人（或物）""],""cet4"":[""特别受喜爱的"",""特别受喜爱的人""],""tem4"":[""特别受喜爱的"",""特别喜爱的人（或物）""],""ielts"":[""特别喜欢的，宠爱的"",""特别喜欢的人或物； 亲信""]}","favourite","ˈfeɪvərɪt","zhongkao | gaokao | cet4 | tem4 | ielts","economy","经济与资源 › 经济·工作·资源 › favourite","0.2","true"
"pepper","n. 胡椒；辣椒；胡椒粉 | vt. 加胡椒粉于；使布满 | n. 胡椒粉 | 胡椒，胡椒粉 | 在…上撒； 使布满","{""zhongkao"":[""n. 胡椒；辣椒；胡椒粉"",""vt. 加胡椒粉于；使布满""],""gaokao"":[""n. 胡椒粉""],""cet4"":[""胡椒，胡椒粉"",""在…上撒； 使布满""],""kaoyan2024"":[""n.胡椒；辣椒；胡椒粉vt.加胡椒粉于；使布满""],""ielts"":[""胡椒"",""在…上撒""],""toefl"":[""胡椒；辣椒"",""撒胡椒粉； 大量给予""]}","ˈpɛpər","ˈpɛpə","zhongkao | gaokao | cet4 | kaoyan2024 | ielts | toefl","control","控制与影响 › 控制·管理·影响 › pepper","0.2","true"
"program","n. 程序；计划；大纲 | vt. 用程序指令；为…制订计划；为…安排节目 | vi. 编程序；安排节目；设计电脑程式","{""zhongkao"":[""n. 程序；计划；大纲"",""vt. 用程序指令；为…制订计划；为…安排节目"",""vi. 编程序；安排节目；设计电脑程式""],""kaoyan2024"":[""n. 程序；计划；大纲vt. 用程序指令；为…制订计划；为…安排节目vi. 编程序；安排节目；设计电脑程式""]}","ˈproʊˌɡræm","ˈprəʊɡræm","zhongkao | kaoyan2024","control","控制与影响 › 控制·管理·影响 › program","0.2","true"
"skin","n. 皮肤；外皮 | vt. 剥皮 | vi. 愈合；长皮 | n. 皮，皮肤；兽皮","{""zhongkao"":[""n. 皮肤；外皮"",""vt. 剥皮"",""vi. 愈合；长皮""],""gaokao"":[""n. 皮，皮肤；兽皮""]}","skɪn","skɪn","zhongkao | gaokao","action","行动与选择 › 行动·选择·执行 › skin","0.2","true"
"staff","职员；参谋；棒；支撑 | 职员的；行政工作的 | 供给人员；给…配备职员 | 为…配备人员； 任职于 | n. 职员；参谋；棒；支撑 | adj. 职员的；行政工作的 | vt. 供给人员；给…配备职员 | vi. 雇用工作人员 | n. 全体职工（雇员） | 工作人员；参谋 | 为…配备人员","{""zhongkao"":[""n. 职员；参谋；棒；支撑"",""adj. 职员的；行政工作的"",""vt. 供给人员；给…配备职员"",""vi. 雇用工作人员""],""gaokao"":[""n. 全体职工（雇员）""],""cet4"":[""工作人员；参谋"",""为…配备人员""],""tem4"":[""职员；参谋；棒；支撑"",""职员的；行政工作的"",""供给人员；给…配备职员""],""kaoyan2024"":[""n. 职员；参谋；棒；支撑adj. 职员的；行政工作的vt. 供给人员；给…配备职员vi. 雇用工作人员""],""ielts"":[""全体职工，工作人员；棒；全体参谋人员"",""为…配备人员； 任职于""],""toefl"":[""全体职工；行政人员；棍棒"",""为…配备人员； 任职于""],""bec2"":[""职员；参谋；棒；支撑"",""职员的；行政工作的"",""供给人员；给…配备职员""]}","stæf","stɑːf","zhongkao | gaokao | cet4 | tem4 | kaoyan2024 | ielts | toefl | bec2","control","控制与影响 › 控制·管理·影响 › staff","0.2","true"
"refrigerator","n. 冰箱，冷藏库 | n. 冰箱 | 冰箱， 冷藏库","{""zhongkao"":[""n. 冰箱，冷藏库""],""gaokao"":[""n. 冰箱""],""cet4"":[""冰箱， 冷藏库""],""ielts"":[""冰箱； 冷藏库""]}","rəˈfrɪʤəˌreɪtər","rɪˈfrɪʤəreɪtə","zhongkao | gaokao | cet4 | ielts","society","社会与个体 › 社会·群体·个体 › refrigerator","0.2","true"
"blouse","n. 宽松的上衣；女装衬衫 | vt. 使…宽松下垂 | vi. 宽松下垂 | n. 宽罩衫；（妇女、儿童穿的）短上衣","{""zhongkao"":[""n. 宽松的上衣；女装衬衫"",""vt. 使…宽松下垂"",""vi. 宽松下垂""],""gaokao"":[""n. 宽罩衫；（妇女、儿童穿的）短上衣""]}","blaʊs","blaʊz","zhongkao | gaokao","action","行动与选择 › 行动·选择·执行 › blouse","0.67","false"
"partner","n. 伙伴；合伙人；配偶 | vt. 使合作；与…合伙 | vi. 合伙；合股；成为搭档 | n. 搭档，合作者 | 做…的搭档 | 伙伴，合伙人，搭档，配偶","{""zhongkao"":[""n. 伙伴；合伙人；配偶"",""vt. 使合作；与…合伙"",""vi. 合伙；合股；成为搭档""],""gaokao"":[""n. 搭档，合作者""],""cet4"":[""做…的搭档"",""伙伴，合伙人，搭档，配偶""]}","ˈpɑrtnər","ˈpɑːtnə","zhongkao | gaokao | cet4","society","社会与个体 › 社会·群体·个体 › partner","0.2","true"
"best","n. 最好的人，最好的事物；最佳状态 | adj. 最好的 | vt. 打败，胜过 | adv. 最好地 | a. & ad.最好的；最好地，最 n. 最好的（人或物）","{""zhongkao"":[""n. 最好的人，最好的事物；最佳状态"",""adj. 最好的"",""vt. 打败，胜过"",""adv. 最好地""],""gaokao"":[""a. & ad.最好的；最好地，最 n. 最好的（人或物）""]}","bɛst","bɛst","zhongkao | gaokao","time","时间与过程 › 时间·顺序·过程 › best","0.2","true"
"steal","n. 偷窃；便宜货；偷垒；断球 | vt. 剽窃；偷偷地做；偷窃 | vi. 窃取；偷偷地行动；偷垒","{""zhongkao"":[""n. 偷窃；便宜货；偷垒；断球"",""vt. 剽窃；偷偷地做；偷窃"",""vi. 窃取；偷偷地行动；偷垒""]}","stil","stiːl","zhongkao","economy","经济与资源 › 经济·工作·资源 › steal","0.2","true"
"intelligent","聪明的， 理智的 | adj. 智能的；聪明的；理解力强的 | 聪明的； 理智的 (adj.)","{""zhongkao"":[""adj. 智能的；聪明的；理解力强的""],""cet4"":[""聪明的， 理智的""],""cet6"":[""聪明的； 理智的 (adj.)""],""kaoyan2024"":[""adj.智能的；聪明的；理解力强的""],""ielts"":[""聪明的， 理智的""],""toefl"":[""有才智的， 聪明的""]}","ɪnˈtɛləʤənt","ɪnˈtɛlɪʤənt","zhongkao | cet4 | cet6 | kaoyan2024 | ielts | toefl","expression","表达与观点 › 语言·观点·交流 › intelligent","0.67","false"
"twin","n. 双胞胎中一人 | adj. 双胞胎的 | vt. 使成对 | vi. 成对；生双胞胎 | n. 双胞胎之一","{""zhongkao"":[""n. 双胞胎中一人"",""adj. 双胞胎的"",""vt. 使成对"",""vi. 成对；生双胞胎""],""gaokao"":[""n. 双胞胎之一""]}","twɪn","twɪn","zhongkao | gaokao","judgment","判断与评价 › 判断·价值·评价 › twin","0.2","true"
"rapidly","adv. 迅速地；很快地；立即","{""zhongkao"":[""adv. 迅速地；很快地；立即""]}","ˈræpədli","ˈræpɪdli","zhongkao","expression","表达与观点 › 语言·观点·交流 › rapidly","0.2","true"
"golf","n. 高尔夫球；高尔夫球运动 | vi. 打高尔夫球 | n. 高尔夫球 | 高尔夫球运动","{""zhongkao"":[""n. 高尔夫球；高尔夫球运动"",""vi. 打高尔夫球""],""gaokao"":[""n. 高尔夫球""],""cet4"":[""高尔夫球运动""]}","ɡɑlf","ɡɒlf","zhongkao | gaokao | cet4","control","控制与影响 › 控制·管理·影响 › golf","0.2","true"
"have","aux. 已经 | vt. 有；让；拿；从事；允许","{""zhongkao"":[""aux. 已经"",""vt. 有；让；拿；从事；允许""],""bec2"":[""有；让；拿；从事；允许"",""已经"",""(Have)人名；(芬)哈韦；(德)哈弗""]}","hæv","hæv","zhongkao | bec2","cognition","认知与思维 › 感知·理解·记忆 › have","0.2","true"
"lifetime","n. 一生；寿命；终生；使用期 | adj. 一生的；终身的 | n. 一生，终生","{""zhongkao"":[""n. 一生；寿命；终生；使用期"",""adj. 一生的；终身的""],""gaokao"":[""n. 一生，终生""],""sat"":[""一生， 终身""]}","ˈlaɪfˌtaɪm","ˈlaɪftaɪm","zhongkao | gaokao | sat","time","时间与过程 › 时间·顺序·过程 › lifetime","0.67","false"
"blender","n. （美）搅拌机；掺和者；混合物","{""zhongkao"":[""n. （美）搅拌机；掺和者；混合物""]}","ˈblɛndər","ˈblɛndə","zhongkao","time","时间与过程 › 时间·顺序·过程 › blender","0.67","false"
"climber","n. 登山者；攀缘植物；尽力改善自己社会地位的人","{""zhongkao"":[""n. 登山者；攀缘植物；尽力改善自己社会地位的人""]}","ˈklaɪmər","ˈklaɪmə","zhongkao","relation","因果与关系 › 原因·结果·连接 › climber","0.2","true"
"historical","adj. 历史的；史学的；基于史实的 | 历史的， 有关历史的","{""zhongkao"":[""adj. 历史的；史学的；基于史实的""],""cet4"":[""历史的， 有关历史的""],""kaoyan2024"":[""adj. 历史的；史学的；基于史实的""],""sat"":[""历史的； 有关历史的""]}","hɪˈstɔrɪkəl","hɪsˈtɒrɪkəl","zhongkao | cet4 | kaoyan2024 | sat","judgment","判断与评价 › 判断·价值·评价 › historical","0.2","true"
"poster","n. 海报，广告；招贴 | n. (贴在公共场所的大型)招贴；广告(画)","{""zhongkao"":[""n. 海报，广告；招贴""],""gaokao"":[""n. (贴在公共场所的大型)招贴；广告(画)""],""toefl"":[""海报， 招贴画； 发布消息的人""],""bec2"":[""海报，广告；招贴""]}","ˈpoʊstər","ˈpəʊstə","zhongkao | gaokao | toefl | bec2","economy","经济与资源 › 经济·工作·资源 › poster","0.2","true"
"sightseeing","n. 观光；游览 | v. 观光（sightsee的ing形式）；游览 | adj. 观光的；游览的 | n. 游览，观光 | 观光， 游览 | 观光， 游览 (n.)","{""zhongkao"":[""n. 观光；游览"",""v. 观光（sightsee的ing形式）；游览"",""adj. 观光的；游览的""],""gaokao"":[""n. 游览，观光""],""cet4"":[""观光， 游览""],""cet6"":[""观光， 游览 (n.)""]}","ˈsaɪtˈsiɪŋ","ˈsaɪtˌsiːɪŋ","zhongkao | gaokao | cet4 | cet6","relation","因果与关系 › 原因·结果·连接 › sightseeing","0.2","true"
"dishonest","adj. 不诚实的；欺诈的","{""zhongkao"":[""adj. 不诚实的；欺诈的""],""bec2"":[""不诚实的；欺诈的""]}","dɪˈsɑnəst","dɪsˈɒnɪst","zhongkao | bec2","action","行动与选择 › 行动·选择·执行 › dishonest","0.2","true"
"t-shirt","n. 短袖圆领汗衫 | n. T恤衫","{""zhongkao"":[""n. 短袖圆领汗衫""],""gaokao"":[""n. T恤衫""]}","ti-ʃɜrt","ˈtiːʃɜːt","zhongkao | gaokao","state","状态与存在 › 状态·属性·存在 › t-shirt","0.2","true"
"more","adv. 更多；此外；更大程度地 | adj. 更多的；附加的 | pron. 更多的数量 | n. 更多 | a./ ad.另外的；附加的；较多的再；另外；而且；更 n. 更多的量；另外的一些（much或many 的比较级）","{""zhongkao"":[""adv. 更多；此外；更大程度地"",""adj. 更多的；附加的"",""pron. 更多的数量"",""n. 更多""],""gaokao"":[""a./ ad.另外的；附加的；较多的再；另外；而且；更 n. 更多的量；另外的一些（much或many 的比较级）""]}","mɔr","mɔː","zhongkao | gaokao","quantity","程度·范围·数量 › 数量·范围·程度 › more","0.91","false"
"protection","n. 保护；防卫；护照 | n. 保护 | 保护， 防护","{""zhongkao"":[""n. 保护；防卫；护照""],""gaokao"":[""n. 保护""],""cet4"":[""保护， 防护""],""tem4"":[""保护；防卫；护照""],""kaoyan2024"":[""n.保护；防卫；护照""]}","prəˈtɛkʃən","prəˈtɛkʃᵊn","zhongkao | gaokao | cet4 | tem4 | kaoyan2024","change","变化与发展 › 变化·增长·演进 › protection","0.2","true"
"junior","adj. 年少的；后进的；下级的 | n. 年少者，晚辈；地位较低者；大学三年级学生 | a. 初级的；年少的 | 年少的；资历较浅的 | 晚辈； 三年级学生","{""zhongkao"":[""adj. 年少的；后进的；下级的"",""n. 年少者，晚辈；地位较低者；大学三年级学生""],""gaokao"":[""a. 初级的；年少的""],""cet4"":[""年少的；资历较浅的"",""晚辈； 三年级学生""],""bec2"":[""年少的；后进的；下级的"",""年少者，晚辈；地位较低者；大学三年级学生""]}","ˈʤunjər","ˈʤuːnjə","zhongkao | gaokao | cet4 | bec2","change","变化与发展 › 变化·增长·演进 › junior","0.2","true"
"crime","n. 罪行，犯罪；罪恶；犯罪活动 | vt. 控告……违反纪律 | n. （法律上的）罪，犯罪 | 罪， 罪行， 犯罪 | 罪， 罪行， 犯罪 (n.)","{""zhongkao"":[""n. 罪行，犯罪；罪恶；犯罪活动"",""vt. 控告……违反纪律""],""gaokao"":[""n. （法律上的）罪，犯罪""],""cet4"":[""罪， 罪行， 犯罪""],""cet6"":[""罪， 罪行， 犯罪 (n.)""],""ielts"":[""罪行； 犯罪""],""toefl"":[""犯罪； 罪行""],""bec2"":[""罪行，犯罪；罪恶；犯罪活动"",""控告……违反纪律""]}","kraɪm","kraɪm","zhongkao | gaokao | cet4 | cet6 | ielts | toefl | bec2","cognition","认知与思维 › 感知·理解·记忆 › crime","0.2","true"
"burial","n. 埋葬；葬礼；弃绝 | adj. 埋葬的 | n. 埋葬 | 葬， 掩埋； 葬礼 (n.)","{""zhongkao"":[""n. 埋葬；葬礼；弃绝"",""adj. 埋葬的""],""gaokao"":[""n. 埋葬""],""cet6"":[""葬， 掩埋； 葬礼 (n.)""]}","ˈbɛriəl","ˈbɛrɪəl","zhongkao | gaokao | cet6","change","变化与发展 › 变化·增长·演进 › burial","0.2","true"
"decorate","vt. 装饰；布置；授勋给 | vi. 装饰；布置 | vt.装饰…，修饰… | 装饰， 装潢， 修饰 | 装饰， 装潢， 修饰 (vt.)","{""zhongkao"":[""vt. 装饰；布置；授勋给"",""vi. 装饰；布置""],""gaokao"":[""vt.装饰…，修饰…""],""cet4"":[""装饰， 装潢， 修饰""],""cet6"":[""装饰， 装潢， 修饰 (vt.)""],""kaoyan2024"":[""vt.装饰；布置；授勋给vi.装饰；布置""],""ielts"":[""装饰， 装潢， 布置； 授勋""],""toefl"":[""装饰， 布置""]}","ˈdɛkəˌreɪt","ˈdɛkəreɪt","zhongkao | gaokao | cet4 | cet6 | kaoyan2024 | ielts | toefl","quantity","程度·范围·数量 › 数量·范围·程度 › decorate","0.2","true"
"fault","n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误 | vt. （通常用于疑问句或否定句）挑剔 | vi. 弄错；产生断层 | n. 缺点，毛病","{""zhongkao"":[""n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误"",""vt. （通常用于疑问句或否定句）挑剔"",""vi. 弄错；产生断层""],""gaokao"":[""n. 缺点，毛病""],""ielts"":[""缺点， 瑕疵， 毛病""],""toefl"":[""过错， 过失； 缺点， 弱点； 断层""],""bec2"":[""故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误"",""弄错；产生断层""]}","fɔlt","fɔːlt","zhongkao | gaokao | ielts | toefl | bec2","cognition","认知与思维 › 感知·理解·记忆 › fault","0.2","true"
"man","n. 人；男人；人类；丈夫；雇工 | vt. 操纵；给…配置人员；使增强勇气；在…就位","{""zhongkao"":[""n. 人；男人；人类；丈夫；雇工"",""vt. 操纵；给…配置人员；使增强勇气；在…就位""]}","mæn","mæn","zhongkao","control","控制与影响 › 控制·管理·影响 › man","0.2","true"
"glue","n. 胶；各种胶合物 | vt. 粘合；似胶般固着于 | n. 胶水 | 胶，胶水 | 胶合","{""zhongkao"":[""n. 胶；各种胶合物"",""vt. 粘合；似胶般固着于""],""gaokao"":[""n. 胶水""],""cet4"":[""胶，胶水"",""胶合""],""ielts"":[""胶水"",""胶合， 张贴""],""toefl"":[""胶合，黏合；紧附于"",""胶， 胶水""]}","ɡlu","ɡluː","zhongkao | gaokao | cet4 | ielts | toefl","economy","经济与资源 › 经济·工作·资源 › glue","0.2","true"
"awful","可怕的；极坏的；使人敬畏的 | adj. 可怕的；极坏的；使人敬畏的 | a. 很坏的，极讨厌的 | 令人不愉快的， 难过的； 非常的， 极大的","{""zhongkao"":[""adj. 可怕的；极坏的；使人敬畏的""],""gaokao"":[""a. 很坏的，极讨厌的""],""cet4"":[""令人不愉快的， 难过的； 非常的， 极大的""],""tem4"":[""可怕的；极坏的；使人敬畏的""],""ielts"":[""糟糕的""],""toefl"":[""不舒服的； 糟糕的； 可怕的； 非常的""],""bec2"":[""可怕的；极坏的；使人敬畏的""]}","ˈɑfəl","ˈɔːfʊl","zhongkao | gaokao | cet4 | tem4 | ielts | toefl | bec2","change","变化与发展 › 变化·增长·演进 › awful","0.2","true"
"stomachache","n. 腹痛，肚子痛；胃痛 | n. 胃疼","{""zhongkao"":[""n. 腹痛，肚子痛；胃痛""],""gaokao"":[""n. 胃疼""]}","stomachache","ˈstʌməkeɪk","zhongkao | gaokao","cognition","认知与思维 › 感知·理解·记忆 › stomachache","0.2","true"
"emperor","n. 皇帝，君主 | n. 皇帝 | 皇帝","{""zhongkao"":[""n. 皇帝，君主""],""gaokao"":[""n. 皇帝""],""cet4"":[""皇帝""],""ielts"":[""皇帝； 君主""]}","ˈɛmpərər","ˈɛmpərə","zhongkao | gaokao | cet4 | ielts","judgment","判断与评价 › 判断·价值·评价 › emperor","0.2","true"
